player.givenName,player.surname,team.name,goals,behinds,goalAccuracy,goalAssists,disposals,kicks,handballs,contestedPossessions,uncontestedPossessions,totalPossessions,tackles,intercepts,rebound50s,disposalEfficiency,clangers,metresGained,scoreInvolvements,bounces
Nick,Bryan,Essendon,0,2,0.0,0,15,10,5,7,7,14,0,3,1,60.0,3,304,5,0
Jye,Caldwell,Essendon,1,1,33.3,0,27,8,19,17,10,27,3,6,1,81.5,2,164,9,0
Nik,Cox,Essendon,0,0,0.0,1,7,2,5,3,5,8,3,4,1,100.0,0,62,1,0
Alwyn,Davey Jnr,Essendon,0,0,0.0,0,7,4,3,4,3,7,2,1,0,28.6,2,90,2,1
Sam,Durham,Essendon,1,0,100.0,0,13,9,4,3,12,15,0,2,1,76.9,3,352,2,0
Matt,Guelfi,Essendon,0,0,0.0,1,15,8,7,9,6,15,4,2,0,60.0,7,218,3,0
Dyson,Heppell,Essendon,0,0,0.0,0,25,15,10,10,13,23,4,11,4,84.0,2,473,4,0
Nick,Hind,Essendon,1,0,100.0,0,23,19,4,4,18,22,1,4,5,87.0,2,469,8,4
Ben,Hobbs,Essendon,0,1,0.0,2,20,10,10,9,11,20,3,3,1,85.0,1,374,8,0
Jake,Kelly,Essendon,0,0,0.0,0,15,5,10,5,12,17,1,3,1,66.7,2,120,1,0
Kyle,Langford,Essendon,5,0,83.3,1,10,8,2,6,5,11,2,1,0,70.0,1,215,6,2
Jayden,Laverde,Essendon,0,0,0.0,0,10,4,6,5,6,11,3,5,3,70.0,3,182,1,0
Nic,Martin,Essendon,1,0,100.0,0,16,8,8,4,12,16,3,3,1,87.5,3,269,6,0
Andrew,McGrath,Essendon,0,0,0.0,0,16,7,9,4,12,16,2,5,4,75.0,1,357,3,2
Jye,Menzie,Essendon,1,0,33.3,0,9,7,2,3,5,8,4,1,1,33.3,1,165,2,0
Zach,Merrett,Essendon,0,0,0.0,1,39,18,21,17,23,40,4,7,2,74.4,2,486,4,1
Darcy,Parish,Essendon,0,0,0.0,2,27,17,10,16,11,27,4,3,0,51.9,5,511,6,0
Archie,Perkins,Essendon,1,1,33.3,1,14,5,9,8,8,16,3,0,0,71.4,2,189,7,0
Andrew,Phillips,Essendon,0,0,0.0,1,11,5,6,9,2,11,1,2,0,90.9,2,184,3,0
Mason,Redman,Essendon,0,0,0.0,0,21,13,8,1,15,16,1,2,3,71.4,2,461,6,3
Will,Snelling,Essendon,0,0,0.0,1,10,7,3,1,9,10,0,1,2,60.0,0,230,2,0
Peter,Wright,Essendon,4,1,80.0,0,8,7,1,4,4,8,1,0,0,75.0,3,224,8,0
Brandon,Zerk-Thatcher,Essendon,0,0,0.0,0,11,9,2,2,9,11,1,6,1,81.8,2,209,3,0
Joel,Amartey,Sydney Swans,4,1,57.1,1,11,10,1,5,6,11,2,0,0,63.6,1,302,8,0
Nick,Blakey,Sydney Swans,0,0,0.0,0,19,9,10,4,13,17,1,5,1,84.2,2,267,3,5
Braeden,Campbell,Sydney Swans,0,1,0.0,0,26,19,7,8,17,25,4,6,5,76.9,4,535,6,0
Ryan,Clarke,Sydney Swans,0,0,0.0,0,6,2,4,2,4,6,0,0,0,83.3,0,82,1,0
Harry,Cunningham,Sydney Swans,0,0,0.0,0,21,11,10,10,11,21,4,10,6,85.7,0,315,3,1
Oliver,Florent,Sydney Swans,0,0,0.0,1,21,11,10,3,18,21,1,3,2,76.2,3,365,3,1
Robbie,Fox,Sydney Swans,0,0,0.0,0,13,9,4,2,11,13,4,3,5,84.6,1,253,1,0
Lance,Franklin,Sydney Swans,0,0,0.0,1,3,2,1,1,2,3,0,0,0,66.7,2,100,3,0
Errol,Gulden,Sydney Swans,1,0,100.0,2,37,24,13,9,29,38,4,4,4,86.5,5,725,11,1
Will,Hayward,Sydney Swans,0,1,0.0,0,9,5,4,4,4,8,2,2,1,77.8,1,139,5,0
Isaac,Heeney,Sydney Swans,2,0,100.0,0,17,9,8,6,10,16,2,2,0,70.6,0,229,5,1
Jake,Lloyd,Sydney Swans,0,0,0.0,1,31,23,8,3,22,25,4,4,9,87.1,0,588,7,1
Tom,McCartin,Sydney Swans,0,0,0.0,0,16,6,10,8,8,16,1,9,4,75.0,3,273,3,2
